amine_homo_lumo,amine_homo,amine_dipole,acid_homo_lumo,acid_lumo,acid_dipole,product_homo_lumo,product_dipole,acid_amine_gap
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.282299999999999,-6.4601,1.01614,6.7581999999999995,-0.3117,4.10417,6.2764,3.58089,6.1484
6.5896,-6.7275,1.5264,6.578600000000001,-0.475,1.86684,6.5342,3.04428,6.2525
6.5896,-6.7275,1.5264,6.578600000000001,-0.475,1.86684,6.5342,3.04428,6.2525
6.5896,-6.7275,1.5264,6.578600000000001,-0.475,1.86684,6.5342,3.04428,6.2525
6.5896,-6.7275,1.5264,6.476800000000001,-0.6427,2.40565,6.4501,4.06318,6.0847999999999995
5.8260000000000005,-5.8874,1.77366,6.578600000000001,-0.475,1.86684,5.6656,3.40503,5.412400000000001
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,4.9384,-2.0418,2.39843,4.997,3.39851,4.685700000000001
6.5896,-6.7275,1.5264,6.1373,-1.4949,2.0299,6.0001999999999995,3.31443,5.2326
6.5896,-6.7275,1.5264,5.6188,-2.5054,3.70983,5.0375,5.28618,4.2221
6.5896,-6.7275,1.5264,5.6188,-2.5054,3.70983,5.0375,5.28618,4.2221
6.5896,-6.7275,1.5264,5.6188,-2.5054,3.70983,5.0375,5.28618,4.2221
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.282299999999999,-6.4601,1.01614,6.7581999999999995,-0.3117,4.10417,6.2764,3.58089,6.1484
6.282299999999999,-6.4601,1.01614,6.7581999999999995,-0.3117,4.10417,6.2764,3.58089,6.1484
6.5896,-6.7275,1.5264,6.1894,-1.6204,4.79785,6.0001999999999995,3.31443,5.1071
6.5896,-6.7275,1.5264,6.1894,-1.6204,4.79785,6.0001999999999995,3.31443,5.1071
6.282299999999999,-6.4601,1.01614,6.1894,-1.6204,4.79785,5.925,3.51694,4.8397
6.282299999999999,-6.4601,1.01614,6.1894,-1.6204,4.79785,5.925,3.51694,4.8397
6.5896,-6.7275,1.5264,8.1257,0.3808,2.06128,6.5657,3.23903,7.1083
6.5896,-6.7275,1.5264,8.1257,0.3808,2.06128,6.5657,3.23903,7.1083
6.5896,-6.7275,1.5264,8.1257,0.3808,2.06128,6.5657,3.23903,7.1083
6.5896,-6.7275,1.5264,8.0889,0.2455,1.81682,6.7101,3.12872,6.973
6.5896,-6.7275,1.5264,8.0889,0.2455,1.81682,6.7101,3.12872,6.973
6.5896,-6.7275,1.5264,8.1842,0.2301,1.51511,6.6936,3.32231,6.9576
6.5896,-6.7275,1.5264,8.1842,0.2301,1.51511,6.6936,3.32231,6.9576
6.5896,-6.7275,1.5264,8.1842,0.2301,1.51511,6.6936,3.32231,6.9576
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,6.602099999999999,-0.8192,4.42152,6.4149,3.26362,5.9083
6.5896,-6.7275,1.5264,6.602099999999999,-0.8192,4.42152,6.4149,3.26362,5.9083
6.5896,-6.7275,1.5264,6.602099999999999,-0.8192,4.42152,6.4149,3.26362,5.9083
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,6.1334,-0.9198,4.25126,6.1735,3.33356,5.8077000000000005
6.5896,-6.7275,1.5264,6.1334,-0.9198,4.25126,6.1735,3.33356,5.8077000000000005
6.5896,-6.7275,1.5264,6.1334,-0.9198,4.25126,6.1735,3.33356,5.8077000000000005
6.282299999999999,-6.4601,1.01614,8.1257,0.3808,2.06128,6.6204,3.5158,6.8408999999999995
6.282299999999999,-6.4601,1.01614,8.1257,0.3808,2.06128,6.6204,3.5158,6.8408999999999995
6.282299999999999,-6.4601,1.01614,8.1257,0.3808,2.06128,6.6204,3.5158,6.8408999999999995
6.5896,-6.7275,1.5264,7.3026,-0.1501,1.13267,6.4221,5.96441,6.5774
6.5896,-6.7275,1.5264,7.3026,-0.1501,1.13267,6.4221,5.96441,6.5774
6.5896,-6.7275,1.5264,7.3026,-0.1501,1.13267,6.4221,5.96441,6.5774
6.5896,-6.7275,1.5264,5.8433,-1.4317,1.56906,6.0048,3.47885,5.2958
6.5896,-6.7275,1.5264,5.8433,-1.4317,1.56906,6.0048,3.47885,5.2958
6.5896,-6.7275,1.5264,5.8433,-1.4317,1.56906,6.0048,3.47885,5.2958
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.282299999999999,-6.4601,1.01614,6.7842,-0.4361,3.992,6.4311,3.55261,6.024
7.9282,-6.7931,1.27076,6.7842,-0.4361,3.992,6.7846,3.73289,6.357
7.9282,-6.7931,1.27076,6.7842,-0.4361,3.992,6.7846,3.73289,6.357
7.8804,-6.8101,1.33737,7.6729,-0.0073,4.11348,7.5251,3.57171,6.8028
6.5896,-6.7275,1.5264,8.2067,0.2837,1.99468,6.636699999999999,3.31836,7.0112
7.5352,-6.5767,1.25663,6.7842,-0.4361,3.992,6.7237,4.10547,6.1406
7.5352,-6.5767,1.25663,6.7842,-0.4361,3.992,6.7237,4.10547,6.1406
7.3039000000000005,-6.1776,1.14194,6.7842,-0.4361,3.992,6.6876,3.88071,5.7415
7.3039000000000005,-6.1776,1.14194,6.7842,-0.4361,3.992,6.6876,3.88071,5.7415
6.5896,-6.7275,1.5264,5.4325,-1.9036,3.6883,5.5737000000000005,3.01983,4.8239
6.4073,-6.437,0.97793,7.6941,0.1884,1.49597,6.3883,3.64431,6.6254
6.5896,-6.7275,1.5264,5.2637,-0.4073,2.89014,5.2285,3.19293,6.3202
5.187,-5.42,4.16017,5.857,-1.8034,3.59585,3.3257000000000003,2.58234,3.6166
4.9511,-5.4383,3.42243,5.857,-1.8034,3.59585,4.0375,6.29653,3.6349
6.5896,-6.7275,1.5264,6.5319,-0.3579,3.93138,6.3103,3.46843,6.3696
6.4824,-6.7496,0.90375,6.5319,-0.3579,3.93138,6.1634,2.91481,6.3917
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
7.0718,-6.1122,1.10487,6.7581999999999995,-0.3117,4.10417,6.7139999999999995,4.00925,5.8004999999999995
7.2952,-6.16,0.8238,6.7581999999999995,-0.3117,4.10417,6.7462,3.89517,5.8483
7.2952,-6.16,0.8238,6.7581999999999995,-0.3117,4.10417,6.7462,3.89517,5.8483
5.8260000000000005,-5.8874,1.77366,6.7581999999999995,-0.3117,4.10417,5.9891,3.00047,5.5757
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.4207,-6.6657,1.16727,8.001,0.3619,1.90694,6.660200000000001,3.28445,7.0276000000000005
7.1019,-6.1087,1.12057,5.0052,-2.1143,5.23633,4.8721000000000005,3.59787,3.9943999999999997
7.1019,-6.1087,1.12057,6.1894,-1.6204,4.79785,5.854900000000001,3.48742,4.4883
6.5896,-6.7275,1.5264,6.436,-0.7083,2.41027,6.2935,2.67204,6.0192
6.5896,-6.7275,1.5264,7.7699,-0.1576,2.27724,6.5524000000000004,2.20634,6.5699
6.5896,-6.7275,1.5264,7.6346,0.0157,4.03655,6.6563,4.23991,6.7432
6.485,-6.7496,0.90342,6.210100000000001,-1.5772,4.79373,5.8065,3.28263,5.1724
6.5896,-6.7275,1.5264,6.7774,-0.2166,1.564,6.402,3.41999,6.5109
6.7042,-6.7662,1.77908,6.7774,-0.2166,1.564,6.4807999999999995,3.78161,6.549600000000001
5.8260000000000005,-5.8874,1.77366,6.7774,-0.2166,1.564,5.9891,3.00047,5.670800000000001
7.3566,-6.2809,0.39083,6.7774,-0.2166,1.564,6.3763000000000005,2.22961,6.0643
6.485,-6.7496,0.90342,6.7774,-0.2166,1.564,6.5837,3.00223,6.533
6.5896,-6.7275,1.5264,6.210100000000001,-1.5772,4.79373,6.0001999999999995,3.31443,5.1503
6.7042,-6.7662,1.77908,6.210100000000001,-1.5772,4.79373,5.8456,3.60237,5.189
6.7042,-6.7662,1.77908,6.210100000000001,-1.5772,4.79373,5.8456,3.60237,5.189
6.7042,-6.7662,1.77908,6.210100000000001,-1.5772,4.79373,5.8456,3.60237,5.189
7.3566,-6.2809,0.39083,6.210100000000001,-1.5772,4.79373,6.1343,3.1584,4.7036999999999995
7.3566,-6.2809,0.39083,6.210100000000001,-1.5772,4.79373,6.1343,3.1584,4.7036999999999995
7.3566,-6.2809,0.39083,6.210100000000001,-1.5772,4.79373,6.1343,3.1584,4.7036999999999995
6.485,-6.7496,0.90342,6.210100000000001,-1.5772,4.79373,5.8065,3.28263,5.1724
6.485,-6.7496,0.90342,6.210100000000001,-1.5772,4.79373,5.8065,3.28263,5.1724
6.485,-6.7496,0.90342,6.210100000000001,-1.5772,4.79373,5.8065,3.28263,5.1724
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
