amine_homo_lumo,amine_homo,amine_dipole,acid_homo_lumo,acid_lumo,acid_dipole,product_homo_lumo,product_dipole,acid_amine_gap
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
6.5896,-6.7275,1.5264,6.5366,-0.9547,4.93322,6.5381,3.41036,5.7728
7.4462,-6.34,0.84748,6.5366,-0.9547,4.93322,6.7237,4.10547,5.3853
7.4462,-6.34,0.84748,6.5366,-0.9547,4.93322,6.7237,4.10547,5.3853
7.4462,-6.34,0.84748,6.5366,-0.9547,4.93322,6.7237,4.10547,5.3853
7.4462,-6.34,0.84748,6.5366,-0.9547,4.93322,6.7237,4.10547,5.3853
7.4462,-6.34,0.84748,6.5366,-0.9547,4.93322,6.7237,4.10547,5.3853
7.4462,-6.34,0.84748,6.5366,-0.9547,4.93322,6.7237,4.10547,5.3853
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
7.8804,-6.8101,1.33737,6.1334,-0.9198,4.25126,6.2195,3.3824,5.8903
7.8804,-6.8101,1.33737,6.1334,-0.9198,4.25126,6.2195,3.3824,5.8903
7.8804,-6.8101,1.33737,6.1334,-0.9198,4.25126,6.2195,3.3824,5.8903
7.8804,-6.8101,1.33737,6.1334,-0.9198,4.25126,6.2195,3.3824,5.8903
7.8882,-6.801,1.23661,6.7842,-0.4361,3.992,6.7266,3.64129,6.3649000000000004
7.8882,-6.801,1.23661,6.7842,-0.4361,3.992,6.7266,3.64129,6.3649000000000004
7.8804,-6.8101,1.33737,6.7842,-0.4361,3.992,6.6791,3.38884,6.3740000000000006
7.8804,-6.8101,1.33737,6.7842,-0.4361,3.992,6.6791,3.38884,6.3740000000000006
6.5896,-6.7275,1.5264,8.2067,0.2837,1.99468,6.636699999999999,3.31836,7.0112
6.5896,-6.7275,1.5264,8.2067,0.2837,1.99468,6.636699999999999,3.31836,7.0112
7.8882,-6.801,1.23661,8.0411,0.1346,4.39267,7.4599,3.46594,6.9356
7.8882,-6.801,1.23661,8.0411,0.1346,4.39267,7.4599,3.46594,6.9356
7.5352,-6.5767,1.25663,6.7842,-0.4361,3.992,6.7237,4.10547,6.1406
7.5352,-6.5767,1.25663,6.7842,-0.4361,3.992,6.7237,4.10547,6.1406
7.3039000000000005,-6.1776,1.14194,6.7842,-0.4361,3.992,6.6876,3.88071,5.7415
7.3039000000000005,-6.1776,1.14194,6.7842,-0.4361,3.992,6.6876,3.88071,5.7415
6.282299999999999,-6.4601,1.01614,6.7842,-0.4361,3.992,6.4311,3.55261,6.024
6.282299999999999,-6.4601,1.01614,6.7842,-0.4361,3.992,6.4311,3.55261,6.024
6.5896,-6.7275,1.5264,5.4325,-1.9036,3.6883,5.5737000000000005,3.01983,4.8239
6.5896,-6.7275,1.5264,5.4325,-1.9036,3.6883,5.5737000000000005,3.01983,4.8239
6.5896,-6.7275,1.5264,5.4325,-1.9036,3.6883,5.5737000000000005,3.01983,4.8239
6.5896,-6.7275,1.5264,5.4325,-1.9036,3.6883,5.5737000000000005,3.01983,4.8239
6.5896,-6.7275,1.5264,5.8651,-1.3255,2.78721,5.9063,3.42179,5.402
6.5896,-6.7275,1.5264,5.8651,-1.3255,2.78721,5.9063,3.42179,5.402
6.5896,-6.7275,1.5264,6.1606,-0.9706,2.01067,6.2571,3.66691,5.7569
6.5896,-6.7275,1.5264,6.1606,-0.9706,2.01067,6.2571,3.66691,5.7569
6.5896,-6.7275,1.5264,5.7294,-1.7774,5.1026,5.679,3.02763,4.9501
6.5896,-6.7275,1.5264,5.7294,-1.7774,5.1026,5.679,3.02763,4.9501
6.0254,-6.2667,2.50382,6.8063,-0.3336,1.39296,5.9876,2.0046,5.9331000000000005
6.0254,-6.2667,2.50382,6.8063,-0.3336,1.39296,5.9876,2.0046,5.9331000000000005
6.0905,-6.973,1.93109,6.8063,-0.3336,1.39296,6.1108,5.01246,6.6394
6.0905,-6.973,1.93109,6.8063,-0.3336,1.39296,6.1108,5.01246,6.6394
6.5878,-6.7276,1.52724,5.5252,-0.4162,3.12465,5.3268,4.03761,6.3114
6.5878,-6.7276,1.52724,5.5252,-0.4162,3.12465,5.2991,3.78997,6.3114
5.4034,-5.5868,2.52527,6.8063,-0.3336,1.39296,5.401400000000001,1.55356,5.2532000000000005
5.4034,-5.5868,2.52527,6.8063,-0.3336,1.39296,5.401400000000001,1.55356,5.2532000000000005
5.187,-5.42,4.16017,5.857,-1.8034,3.59585,3.3257000000000003,2.58234,3.6166
5.187,-5.42,4.16017,5.857,-1.8034,3.59585,3.3257000000000003,2.58234,3.6166
4.9511,-5.4383,3.42243,5.857,-1.8034,3.59585,4.0375,6.29653,3.6349
4.9511,-5.4383,3.42243,5.857,-1.8034,3.59585,4.0375,6.29653,3.6349
6.5896,-6.7275,1.5264,6.5124,-0.3576,1.78329,6.3103,3.46843,6.3699
6.5896,-6.7275,1.5264,6.5124,-0.3576,1.78329,6.3103,3.46843,6.3699
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
6.5896,-6.7275,1.5264,6.4548,-0.3981,1.72791,5.8696,3.78107,6.3294
7.8882,-6.801,1.23661,6.7146,-0.6497,4.61701,6.7607,3.40704,6.1513
5.2763,-5.3922,1.67637,6.7216000000000005,-0.4236,1.92135,5.327,2.15243,4.9686
7.8882,-6.801,1.23661,8.001,0.3619,1.90694,7.3628,3.24497,7.1629000000000005
6.5896,-6.7275,1.5264,6.210100000000001,-1.5772,4.79373,6.0001999999999995,3.31443,5.1503
7.3151,-6.9645,2.7319,6.210100000000001,-1.5772,4.79373,6.2011,2.60066,5.3873
7.6652000000000005,-6.5072,1.51773,6.210100000000001,-1.5772,4.79373,6.1343,3.1584,4.93
6.6546,-6.8487,2.59264,5.3458,-2.2423,1.71892,5.0488,2.74402,4.6064
6.7659,-7.315,2.72407,6.7216000000000005,-0.4236,1.92135,6.527100000000001,2.99419,6.891400000000001
5.2763,-5.3922,1.67637,6.7216000000000005,-0.4236,1.92135,5.327,2.15243,4.9686
7.8736,-6.8157,1.19783,6.759,-0.1994,1.65107,6.5429,3.23472,6.6163
6.282299999999999,-6.4601,1.01614,8.1257,0.3808,2.06128,6.6204,3.5158,6.8408999999999995
5.2763,-5.3922,1.67637,6.210100000000001,-1.5772,4.79373,4.5966000000000005,4.15049,3.815
6.7659,-7.315,2.72407,6.210100000000001,-1.5772,4.79373,5.5676,3.28847,5.7378
7.3151,-6.9645,2.7319,6.210100000000001,-1.5772,4.79373,6.2011,2.60066,5.3873
7.3151,-6.9645,2.7319,6.210100000000001,-1.5772,4.79373,6.2011,2.60066,5.3873
7.3151,-6.9645,2.7319,6.210100000000001,-1.5772,4.79373,6.2011,2.60066,5.3873
6.7211,-7.0135,0.81764,4.6583,-1.9405,2.05068,4.8932,3.10295,5.0729999999999995
6.7211,-7.0135,0.81764,4.6583,-1.9405,2.05068,4.8932,3.10295,5.0729999999999995
6.7211,-7.0135,0.81764,4.6583,-1.9405,2.05068,4.8932,3.10295,5.0729999999999995
6.282299999999999,-6.4601,1.01614,6.210100000000001,-1.5772,4.79373,5.925,3.51694,4.882899999999999
7.0133,-7.4604,5.65489,6.2151,-0.9333,1.26335,3.7238,5.08423,6.5271
7.0133,-7.4604,5.65489,6.2151,-0.9333,1.26335,3.8247,7.32713,6.5271
7.0133,-7.4604,5.65489,6.2151,-0.9333,1.26335,3.9015999999999997,7.5655,6.5271
5.4205,-5.8087,4.09356,6.7146,-0.6497,4.61701,5.6749,4.12861,5.159
6.4207,-6.6657,1.16727,4.9384,-2.0418,2.39843,5.0042,3.85495,4.623900000000001
5.2763,-5.3922,1.67637,4.9384,-2.0418,2.39843,3.9503000000000004,3.05399,3.3504
5.2763,-5.3922,1.67637,4.9384,-2.0418,2.39843,3.9503000000000004,3.05399,3.3504
6.4207,-6.6657,1.16727,4.9384,-2.0418,2.39843,5.0042,3.85495,4.623900000000001
6.4207,-6.6657,1.16727,4.9384,-2.0418,2.39843,5.0042,3.85495,4.623900000000001
5.9521999999999995,-5.4144,3.47181,4.741099999999999,-1.9419,3.66122,3.8207,4.58346,3.4724999999999997
7.3039000000000005,-6.1776,1.14194,4.9384,-2.0418,2.39843,4.8998,3.61658,4.1358
6.4207,-6.6657,1.16727,6.5954999999999995,-1.2065,5.13957,5.9982,3.39152,5.4592
6.4207,-6.6657,1.16727,6.5954999999999995,-1.2065,5.13957,5.9982,3.39152,5.4592
6.4207,-6.6657,1.16727,6.5954999999999995,-1.2065,5.13957,5.9982,3.39152,5.4592
5.2763,-5.3922,1.67637,6.5954999999999995,-1.2065,5.13957,4.7836,2.41953,4.1857
6.4207,-6.6657,1.16727,5.2986,-2.028,2.79943,5.1583,3.28205,4.637700000000001
6.4207,-6.6657,1.16727,5.1487,-1.8909,5.37226,5.1933,3.35576,4.7748
5.2763,-5.3922,1.67637,5.1487,-1.8909,5.37226,4.116,3.5524,3.5012999999999996
5.2763,-5.3922,1.67637,4.394,-2.2752,5.83673,3.8254,6.02135,3.117
5.8260000000000005,-5.8874,1.77366,6.855099999999999,-1.1946,5.43228,6.7493,3.85185,4.6928
